x	y	cluster	words
-10.30154	-28.686115	2	Cambridge
-33.156532	-42.794025	14	behind
24.52031	-1.0094137	6	Netherfield
28.168432	1.4028052	12	resolutely
-4.1931553	-38.15827	12	fifteen
-42.415318	8.371241	12	tenderness
-18.782627	-37.732677	2	illness
-52.75014	-2.534145	18	spend
-19.818026	44.88723	12	chestnuts
30.59941	23.798895	11	himself
-20.170166	44.65993	10	merry
10.751853	18.038109	2	nose
48.611427	27.727396	2	Internal
38.247288	28.749111	2	disappoint
-51.220074	-18.824064	8	dancing
33.939613	9.704527	12	Five
43.483345	35.79685	12	Vain
4.0469365	-1.8054897	6	take
-16.5333	-41.490185	8	large
26.825785	-6.534579	6	another
34.492496	17.429543	0	horses
24.036228	28.190191	0	showed
-6.853732	-10.440762	18	sincerely
-55.33249	-8.591937	12	behaves
-1.7477864	7.8359494	16	just
18.04378	4.5201855	2	clear-sighted
-10.948671	-47.822586	18	grave
21.219954	13.052193	2	spacious
-43.68385	21.516182	19	rescue
-51.9197	-19.706223	12	brain
31.118698	20.642584	2	Next
4.1458507	-32.64479	12	liberal-minded
18.669014	-3.5745025	12	intermission
48.172497	28.72878	10	accounts
28.94933	0.8621769	12	poultry
33.614662	-3.3728294	19	troubling
4.972016	9.158543	19	_myself_
-49.640293	-35.391724	19	charges
31.142586	2.4772348	18	November
-49.12889	3.8602757	2	bodies
-47.437656	-20.657955	19	Brother-in-law
-48.66903	-22.68382	19	somehow
-10.493298	-39.119366	2	weep
-1.8898802	-41.401913	2	insolent
32.093628	11.775347	18	Kent
-46.74826	-24.133568	10	repeating
-0.6056782	-16.356098	0	Perhaps
-5.631563	11.041976	2	sparkled
-46.881214	-1.2756401	19	Unhappy
-16.344728	-49.67232	18	Hill
13.517951	19.719303	12	unworthy
-50.347313	-9.508765	0	etc
24.429659	38.33287	2	largest
9.256121	-19.092241	3	countenance
48.13745	34.903027	17	Rosings
-12.897561	-49.9557	2	reconcile
-48.798504	12.067153	18	grateful
20.635206	-1.769938	12	symptom
5.710429	6.2514668	10	quickly
-33.738594	33.214085	2	Excellent
-14.842437	-33.10085	13	what
36.80084	14.81806	2	retreated
29.071812	3.707027	19	discernment
1.765203	15.43687	2	slave
-39.78254	-43.349655	19	suiting
-25.006952	-51.351868	19	_younger_
-45.636337	-38.426956	1	ever
47.466263	33.919888	2	successfully
-10.2094345	-1.8426263	12	denial
-31.245663	34.418453	19	respective
40.69284	-1.0554513	12	immovable
46.402203	16.855808	19	fluttered
-7.8871083	-46.602154	10	EXPRESS
-13.1855955	-39.64006	2	redistribution
-44.999577	-41.219547	10	Has
-43.352493	-41.898632	0	trees
